yyyy	mm	dd	sf(m3/s)	sed(t/ha)	orgn(kg/ha)	orgp(kg/ha)	no3n(kg/ha)	nh4n(kg/ha)	no2n(kg/ha)	minp(kg/ha)	solpst(mg/ha)	sorpst(mg/ha)	tp(kg/ha)	tn(kg/ha)	tpst(ppb)
2015	9	1	1070	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	10	1	883	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	11	1	667	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2015	12	1	448	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	1	1	371	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	2	1	398	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	3	1	399	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	4	1	476	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	5	1	680	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	6	1	691	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	7	1	762	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	8	1	503	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	9	1	400	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	10	1	291	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	11	1	148	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2016	12	1	131	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
